,CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO,padded_csd
21749,25,Q,Q460,Flushing High School,09-12,GEN ED,SCIENCE,Other Science,-,231.0,8.0,28.9,14.0,35.0,STARS,,25
21750,25,Q,Q460,Flushing High School,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,1771.0,58.0,30.5,10.0,37.0,STARS,,25
21751,26,Q,Q026,P.S. 026 Rufus King,0K-09,SPEC ED,-,-,12:1,10.0,1.0,10.0,10.0,10.0,ATS,,26
21752,25,Q,Q460,Flushing High School,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,599.0,19.0,31.5,16.0,35.0,STARS,,25
21753,25,Q,Q460,Flushing High School,09-12,GEN ED,SOCIAL STUDIES,Economics,-,354.0,11.0,32.2,21.0,38.0,STARS,,25
21754,25,Q,Q460,Flushing High School,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,156.0,5.0,31.2,27.0,34.0,STARS,,25
21755,25,Q,Q460,Flushing High School,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,482.0,17.0,28.4,12.0,34.0,STARS,,25
21756,25,Q,Q460,Flushing High School,09-12,CTT,ENGLISH,English 9,-,69.0,3.0,23.0,18.0,27.0,STARS,,25
21757,25,Q,Q460,Flushing High School,09-12,CTT,ENGLISH,English 10,-,67.0,2.0,33.5,33.0,34.0,STARS,,25
21758,25,Q,Q460,Flushing High School,09-12,CTT,ENGLISH,English 12,-,92.0,3.0,30.7,30.0,31.0,STARS,,25
21759,25,Q,Q460,Flushing High School,09-12,CTT,ENGLISH,Other English,-,69.0,3.0,23.0,18.0,27.0,STARS,,25
21760,25,Q,Q460,Flushing High School,09-12,CTT,MATH,Integrated Algebra,-,244.0,9.0,27.1,17.0,35.0,STARS,,25
21761,25,Q,Q460,Flushing High School,09-12,CTT,MATH,Geometry,-,34.0,1.0,34.0,34.0,34.0,STARS,,25
21762,25,Q,Q460,Flushing High School,09-12,CTT,SCIENCE,Earth Science,-,92.0,3.0,30.7,26.0,33.0,STARS,,25
21763,25,Q,Q460,Flushing High School,09-12,CTT,SCIENCE,Living Environment,-,295.0,10.0,29.5,25.0,35.0,STARS,,25
21764,25,Q,Q460,Flushing High School,09-12,CTT,SCIENCE,Other Science,-,34.0,1.0,34.0,34.0,34.0,STARS,,25
21765,25,Q,Q460,Flushing High School,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,144.0,5.0,28.8,21.0,36.0,STARS,,25
21766,25,Q,Q460,Flushing High School,09-12,CTT,SOCIAL STUDIES,US History & Government,-,67.0,2.0,33.5,33.0,34.0,STARS,,25
21767,25,Q,Q460,Flushing High School,09-12,CTT,SOCIAL STUDIES,Economics,-,34.0,1.0,34.0,34.0,34.0,STARS,,25
21768,25,Q,Q460,Flushing High School,09-12,SPEC ED,ENGLISH,English 9,-,42.0,4.0,10.5,8.0,14.0,STARS,,25
21769,25,Q,Q460,Flushing High School,09-12,SPEC ED,ENGLISH,English 10,-,23.0,2.0,11.5,11.0,12.0,STARS,,25
21770,25,Q,Q460,Flushing High School,09-12,SPEC ED,ENGLISH,English 11,-,27.0,2.0,13.5,12.0,15.0,STARS,,25
21771,25,Q,Q460,Flushing High School,09-12,SPEC ED,ENGLISH,Other English,-,42.0,4.0,10.5,8.0,14.0,STARS,,25
21772,25,Q,Q460,Flushing High School,09-12,SPEC ED,MATH,Integrated Algebra,-,149.0,11.0,13.5,8.0,18.0,STARS,,25
21773,25,Q,Q460,Flushing High School,09-12,SPEC ED,MATH,Geometry,-,11.0,1.0,11.0,11.0,11.0,STARS,,25
21774,25,Q,Q460,Flushing High School,09-12,SPEC ED,SCIENCE,Earth Science,-,43.0,3.0,14.3,13.0,15.0,STARS,,25
21775,25,Q,Q460,Flushing High School,09-12,SPEC ED,SCIENCE,Living Environment,-,134.0,10.0,13.4,8.0,17.0,STARS,,25
21776,25,Q,Q460,Flushing High School,09-12,SPEC ED,SCIENCE,Other Science,-,16.0,1.0,16.0,16.0,16.0,STARS,,25
21777,25,Q,Q460,Flushing High School,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,83.0,7.0,11.9,5.0,16.0,STARS,,25
21778,25,Q,Q460,Flushing High School,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,20.0,2.0,10.0,10.0,10.0,STARS,,25
21779,25,Q,Q460,Flushing High School,,,,,,,,,,,,17.6,25
21780,25,Q,Q499,"The Queens College School for Math, Science and Technology",0K,GEN ED,-,-,-,39.0,2.0,19.5,19.0,20.0,ATS,,25
21781,25,Q,Q499,"The Queens College School for Math, Science and Technology",01,GEN ED,-,-,-,52.0,2.0,26.0,25.0,27.0,ATS,,25
21782,25,Q,Q499,"The Queens College School for Math, Science and Technology",02,GEN ED,-,-,-,49.0,2.0,24.5,24.0,25.0,ATS,,25
21783,25,Q,Q499,"The Queens College School for Math, Science and Technology",03,GEN ED,-,-,-,49.0,2.0,24.5,24.0,25.0,ATS,,25
21784,25,Q,Q499,"The Queens College School for Math, Science and Technology",04,GEN ED,-,-,-,50.0,2.0,25.0,24.0,26.0,ATS,,25
21785,25,Q,Q499,"The Queens College School for Math, Science and Technology",05,GEN ED,-,-,-,51.0,2.0,25.5,24.0,27.0,ATS,,25
21786,25,Q,Q499,"The Queens College School for Math, Science and Technology",06,GEN ED,-,-,-,57.0,2.0,28.5,27.0,30.0,ATS,,25
21787,26,Q,Q026,P.S. 026 Rufus King,,,,,,,,,,,,16.0,26
21788,25,Q,Q499,"The Queens College School for Math, Science and Technology",07,GEN ED,-,-,-,48.0,2.0,24.0,23.0,25.0,ATS,,25
21789,25,Q,Q499,"The Queens College School for Math, Science and Technology",08,GEN ED,-,-,-,46.0,2.0,23.0,23.0,23.0,ATS,,25
21790,25,Q,Q499,"The Queens College School for Math, Science and Technology",0K-09,SPEC ED,-,-,12:1,9.0,1.0,9.0,9.0,9.0,ATS,,25
21791,25,Q,Q499,"The Queens College School for Math, Science and Technology",0K-09,SPEC ED,-,-,12:1:1,10.0,1.0,10.0,10.0,10.0,ATS,,25
21792,25,Q,Q499,"The Queens College School for Math, Science and Technology",MS Core,GEN ED,ENGLISH,MS English Core,-,151.0,6.0,25.2,23.0,30.0,STARS,,25
